white values,brightest color,common color,number of colors,category
8,229220205,130125121,212,0
16,229220205,130125121,486,0
42,232217196,130125121,725,0
80,232217196,130125121,1077,0
119,232228222,130125121,1226,1
158,232228222,160151142,1330,1
197,232228222,149147135,1463,1
254,252248235,149147135,1655,1
318,252248235,149147135,1759,2
382,252248235,144135126,1933,2
446,252248235,144135126,1986,2
510,252248235,144135126,2034,2
580,255255251,144135126,2251,3
670,255255251,144135126,2394,3
765,255255251,144135126,2466,3
869,255255251,144135126,2532,3
982,255255251,144135126,2815,4
1095,255255251,144135126,2961,4
1219,255255251,144135126,3156,4
1355,255255251,144135126,3512,4
17,225213199,1115937,366,0
44,225213199,166157148,784,0
90,230219209,166157148,1025,0
230,248250249,166157148,1208,0
384,248250249,166157148,1656,0
538,248250249,166157148,1731,1
695,248250249,166157148,1885,1
853,248250249,166157148,1921,1
1013,248250249,166157148,2146,1
1173,248250249,166157148,2177,1
1333,248250249,166157148,2365,2
1493,248250249,166157148,2520,2
1665,248250249,166157148,2699,2
1847,248250249,166157148,2785,2
2043,248250249,166157148,2924,2
2250,252249253,166157148,3200,3
2461,252249253,166157148,3284,3
2678,255255247,166157148,3386,3
2901,255255247,166157148,3458,3
3127,255255247,166157148,3555,3
3354,255255247,166157148,3880,4
3585,255255247,166157148,4217,4
3816,255255247,166157148,4569,4
4049,255255247,166157148,4944,4
4283,255255247,166157148,5195,4
9,225199148,302842,730,0
29,225199148,170160150,902,0
58,225199148,170160150,1029,0
93,225199148,184184184,1263,0
155,237241240,184184184,1518,0
217,237241240,184184184,1557,1
279,237241240,184184184,1591,1
341,237241240,165156147,1725,1
403,237241240,165156147,1824,1
465,237241240,165156147,1929,1
527,237241240,165156147,2076,2
601,237241240,165156147,2221,2
675,237241240,165156147,2379,2
749,237241240,165156147,2499,2
823,237241240,165156147,2597,2
905,255255253,165156147,2885,3
1001,255255255,165156147,3320,3
1097,255255255,165156147,3551,3
1194,255255255,165156147,3832,3
1316,255255255,165156147,4114,3
1441,255255255,165156147,4406,4
1576,255255255,165156147,4812,4
1731,255255255,165156147,5082,4
1893,255255255,165156147,5174,4
2068,255255255,165156147,5643,4
36,224215179,13412186,297,0
90,244244242,313129,546,0
194,244244242,313129,769,0
305,244244242,313129,1129,0
434,244244242,313129,1391,0
563,244244242,147152155,1769,1
715,244244242,170146120,2154,1
872,246247248,158160173,2369,1
1032,246247248,158160173,2666,1
1192,246247248,158160173,2742,1
1352,246247248,158160173,2882,2
1512,246247248,158160173,3011,2
1687,246247248,158160173,3239,2
1863,246247248,158160173,3435,2
2042,246247248,158160173,3679,2
2234,254243198,158160173,4083,3
2452,254255255,158160173,4432,3
2701,254255255,158160173,4660,3
2950,254255255,158160173,4756,3
3200,254255255,158160173,5021,3
3461,254255255,158160173,5373,4
3735,254255255,158160173,5872,4
4031,254255255,158160173,6277,4
4358,254255255,158160173,6536,4
4686,254255255,158160173,6696,4
82,255205198,656563,330,0
174,255205198,133132130,570,0
269,255205198,133132130,729,0
385,255205198,133132130,1183,0
523,255205198,133132130,1499,0
676,255205198,165167180,1836,1
831,255205198,165167180,2030,1
987,255205198,165167180,2196,1
1145,255255243,165167180,2349,1
1303,255255243,165167180,2547,1
1473,255255243,165167180,2791,2
1680,255255243,165167180,3202,2
1887,255255243,165167180,3327,2
2104,255255243,165167180,3599,2
2326,255255243,165167180,3812,2
2579,255255255,165167180,4240,3
2843,255255255,165167180,4468,3
3109,255255255,165167180,4602,3
3400,255255255,165167180,4965,3
3701,255255255,165167180,5099,3
4017,255255255,165167180,5326,4
4334,255255255,165167180,5656,4
4684,255255255,165167180,5808,4
5034,255255255,165167180,6103,4
5384,255255255,165167180,6321,4
12,243241232,292927,348,0
31,249250236,11110796,824,0
54,249250236,158157153,1026,0
102,250227194,158157153,1394,0
157,250227194,158157153,1640,0
218,255255255,144144142,1918,1
279,255255255,144144142,1981,1
367,255255255,144144142,2334,1
460,255255255,177177177,2454,1
555,255255255,177177177,2669,1
662,255255255,177177177,2885,2
779,255255255,177177177,3064,2
903,255255255,177177177,3310,2
1034,255255255,177177177,3563,2
1165,255255255,177177177,3812,2
1309,255255255,177177177,4041,3
1469,255255255,177177177,4273,3
1630,255255255,177177177,4482,3
1812,255255255,177177177,4632,3
2001,255255255,177177177,4817,3
2205,255255255,177177177,4949,4
2413,255255255,177177177,5416,4
2646,255255255,177177177,5608,4
2885,255255255,177177177,6033,4
3147,255255255,177177177,6109,4
6,255215149,20213451,318,0
45,255215149,20213451,791,0
96,255215149,147142136,1125,0
161,255215149,147142136,1587,0
295,255215149,147142136,1860,0
435,255215149,147142136,2140,1
575,255215149,147142136,2295,1
717,255215149,147142136,2583,1
860,255215149,159162181,2820,1
1005,255215149,163165177,3009,1
1150,255215149,163165177,3186,2
1313,255255253,163165177,3470,2
1477,255255253,163165177,3658,2
1648,255255253,163165177,3916,2
1837,255255253,163165177,4297,2
2050,255255253,163165177,4509,3
2273,255255253,163165177,5104,3
2509,255255253,163165177,5226,3
2761,255255253,163165177,5540,3
3015,255255253,163165177,5870,3
3273,255255253,163165177,6072,4
3541,255255253,163165177,6613,4
3815,255255253,163165177,6816,4
4089,255255253,148151160,6981,4
4374,255255253,148151160,7194,4
29,234235227,192118,432,0
66,234235227,145144142,662,0
145,249232176,145144142,987,0
248,249232176,145144142,1215,0
352,249232176,808078,1599,0
456,249232176,808078,1829,1
561,249232176,808078,1990,1
672,249232176,808078,2264,1
786,249232176,808078,2516,1
919,249232176,808078,2765,1
1071,249232176,808078,3192,2
1223,249232176,808078,3426,2
1383,249232176,808078,3575,2
1554,249232176,808078,3848,2
1729,249232176,808078,4100,2
1939,255201147,808078,4525,3
2171,255201147,808078,4935,3
2416,255201147,808078,5172,3
2668,255201147,808078,5402,3
2933,255255255,138126114,5576,3
3200,255255255,138126114,5834,4
3480,255255255,138126114,6173,4
3778,255255255,138126114,6414,4
4086,255255255,138126114,6697,4
4408,255255255,138126114,6904,4
7,208208200,122121116,266,0
60,251235182,122121116,749,0
170,251235182,122121116,1171,0
309,251235182,200147133,1450,0
462,251235208,200147133,1757,0
620,251235208,272822,2187,1
778,251235208,272822,2391,1
936,251235208,152152150,2609,1
1094,251235208,152152150,2671,1
1257,251235208,152152150,2988,1
1438,252224174,152152150,3266,2
1630,253243218,152152150,3432,2
1853,255254235,152152150,3790,2
2080,255254235,152152150,4029,2
2310,255254235,152152150,4457,2
2548,255254235,152152150,4660,3
2787,255254235,152152150,4826,3
3044,255254235,152152150,5157,3
3305,255254235,152152150,5472,3
3580,255254235,152152150,5916,3
3872,255254235,152152150,6220,4
4170,255254235,202116,6382,4
4472,255254235,202116,6559,4
4802,255255246,202116,6942,4
5134,255255246,202116,7238,4
11,237228211,130121112,210,0
45,245174150,130121112,491,0
152,245174150,807571,925,0
283,245174150,807571,1287,0
455,245174150,807571,1626,0
629,255250234,807571,1822,1
804,255250234,807571,1928,1
983,255250234,807571,2351,1
1178,255250234,168163157,2746,1
1373,255250234,168163157,2809,1
1568,255250234,168163157,2981,2
1769,255250234,168163157,3403,2
1975,255250234,168163157,3472,2
2190,255250234,168163157,3712,2
2409,255250234,168163157,3931,2
2630,255250234,10108,4180,3
2871,255250234,10108,4493,3
3112,255250234,10108,4772,3
3359,255250234,10108,4808,3
3613,255250234,10108,5184,3
3880,255250234,10108,5386,4
4150,255250234,10108,5730,4
4439,255250234,10108,5992,4
4742,255250234,10108,6126,4
5045,255250234,10108,6568,4
12,220212199,12311290,307,0
25,220212199,12311290,631,0
38,220212199,12311290,774,0
81,254194164,12311290,1245,0
127,254194164,12311290,1630,0
193,254194164,12311290,1955,1
260,254194164,12311290,2076,1
327,254194164,167168173,2309,1
422,254255249,14212599,2609,1
521,254255249,14212599,2899,1
629,254255249,14212599,3217,2
737,254255249,158160173,3445,2
882,254255249,158160173,3705,2
1032,254255249,158160173,3891,2
1194,254255249,158160173,4175,2
1362,254255249,158160173,4528,3
1535,254255249,158160173,4633,3
1731,254255249,158160173,5026,3
1939,254255249,158160173,5148,3
2192,255255255,158160173,5598,3
2464,255255255,158160173,5854,4
2761,255255255,158160173,6150,4
3079,255255255,158160173,6673,4
3405,255255255,158160173,7246,4
3742,255255255,111111121,7406,4
11,243230207,387198,452,0
53,244186194,1403647,932,0
99,244186194,163162160,1110,0
153,244186194,163162160,1281,0
219,244186194,175171160,1522,0
288,244186194,175171160,1927,1
369,244186194,175171160,2282,1
450,244186194,175171160,2455,1
534,244186194,158158170,2672,1
618,244186194,158158170,2862,1
720,244186194,158158170,3105,2
823,244186194,158160173,3296,2
926,244186194,158160173,3513,2
1037,244186194,162164177,3750,2
1148,244186194,162164177,3903,2
1275,244186194,162164177,4381,3
1403,244186194,162164177,4592,3
1541,247241203,162164177,4922,3
1680,247241203,162164177,5022,3
1819,247241203,162164177,5210,3
1980,254251250,162164177,5547,4
2155,255217232,162164177,5880,4
2336,255217232,162164177,6361,4
2518,255217232,162164177,6500,4
2723,255217232,162164177,7067,4
9,239236229,163161148,302,0
32,255197175,163161148,733,0
57,255197175,178178176,885,0
87,255197175,178178176,1124,0
140,255197175,178178176,1332,0
193,255197175,178178176,1380,1
257,255197175,178178176,1686,1
323,255197175,162164176,1938,1
393,255197175,162164176,2308,1
463,255197175,157159172,2496,1
535,255197175,157159172,2631,2
612,255197175,157159172,2916,2
697,255197175,157159172,3275,2
788,255197175,157159172,3511,2
886,255197175,157159172,3731,2
995,255197175,157159172,3993,3
1149,255255248,157159172,4385,3
1311,255255248,157159172,4587,3
1486,255255248,157159172,4854,3
1669,255255248,157159172,5212,3
1857,255255248,157159172,5511,4
2072,255255248,157159172,6120,4
2289,255255248,157159172,6492,4
2506,255255248,157159172,6582,4
2723,255255248,157159172,6848,4
26,254248234,272621,197,0
60,254248234,169169167,437,0
94,254248234,169169167,825,0
140,254248234,169169167,1194,0
230,254248234,169169167,1576,0
320,254248234,169169167,1656,1
419,254248234,135135137,1963,1
523,254248234,135135137,2325,1
632,255255248,135135137,2683,1
755,255255248,135135137,3070,1
906,255255248,135135137,3359,2
1057,255255248,135135137,3641,2
1214,255255248,135135137,3874,2
1371,255255248,135135137,4074,2
1533,255255248,135135137,4184,2
1712,255255248,135135137,4524,3
1891,255255248,135135137,4707,3
2074,255255248,135135137,5029,3
2260,255255248,135135137,5215,3
2447,255255248,135135137,5332,3
2658,255255248,135135137,5777,4
2881,255255248,135135137,6152,4
3104,255255248,135135137,6397,4
3338,255255248,135135137,6871,4
3583,255255248,135135137,7300,4
0,194193173,11410980,329,0
9,234234232,11410980,514,0
46,254235205,11410980,790,0
124,254235205,11410980,1196,0
231,254235205,11410980,1592,0
346,254235205,152152150,2015,1
466,254235205,130129134,2403,1
596,254235205,156158171,2614,1
726,254235205,156158171,2750,1
861,254235205,156158171,2971,1
1008,254235205,156158171,3256,2
